Wavelength (nm)	Abs. Coeff.
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0.000021088
442	0.000184577
443	0.000876572
444	0.000324414
445	0.000448483
446	0.000451124
447	0.000118642
448	3.95E-05
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	2.90E-05
468	4.75E-05
469	0.000113368
470	0.000329693
471	0.000181939
472	0.000168751
473	0.000189853
474	4.75E-05
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0.00019249
486	0.000152926
487	0.000113368
488	0.000105457
489	0.000139739
490	6.85E-05
491	2.64E-05
492	1.58E-05
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	8.96E-05
501	0.000147651
502	0.000710011
503	0.00138918
504	0.005788437
505	0.00143302
506	0.002296281
507	0.002703016
508	0.002091254
509	0.001487828
510	0.001077644
511	0.000435282
512	0.000189853
513	0.000113368
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0.000216232
525	0.000263721
526	0.000021088
527	0.000229423
528	4.22E-05
529	0.000121279
530	9.75E-05
531	6.85E-05
532	2.64E-06
533	7.91E-06
534	0
535	0
536	1.05E-05
537	0
538	0.000076452
539	0.000176664
540	0.000630733
541	0.001868053
542	0.00200708
543	0.000707368
544	0.001677891
545	0.00119942
546	0.00221206
547	0.001157057
548	0.000657156
549	0.00040888
550	0.000385122
551	0.000210956
552	8.44E-05
553	7.91E-05
554	2.64E-06
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	3.16E-05
564	3.95E-05
565	4.75E-05
566	9.75E-05
567	0.000282192
568	0.001586272
569	0.005568968
570	0.00367135
571	0.001037947
572	0.003017865
573	0.002555894
574	0.00220431
575	0.002325172
576	0.001845924
577	0.00153153
578	0.000789313
579	0.000393041
580	0.00033761
581	0.000213594
582	0.00030858
583	0.000334971
584	0.000583177
585	0.000728512
586	0.001381713
587	0.003116582
588	0.009916266
589	0.0245047
590	0.023618479
591	0.015947741
592	0.020788396
593	0.015050342
594	0.0168425
595	0.019932157
596	0.010119545
597	0.011147588
598	0.008570783
599	0.006762966
600	0.003814602
601	0.001681286
602	0.001207364
603	0.000522424
604	0.000221508
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	8.17E-05
626	0.000532989
627	0.002164252
628	0.004080084
629	0.003212673
630	0.00161193
631	0.000752302
632	0.003278759
633	0.002222825
634	0.001410962
635	0.001710628
636	0.001385392
637	0.001487682
638	0.000739085
639	0.000879217
640	0.000786669
641	0.000924181
642	0.000720583
643	0.001421921
644	0.001180886
645	0.002405606
646	0.006721882
647	0.01389442
648	0.018012636
649	0.017818398
650	0.008130042
651	0.006090782
652	0.019876353
653	0.007132241
654	0.005936608
655	0.012592237
656	0.008228527
657	0.008743379
658	0.005934319
659	0.004127322
660	0.003429131
661	0.001524221
662	0.000604312
663	0.000895086
664	0.000617522
665	0.000451124
666	0.000319136
