Wvl_nm	Ref_228K
280	3.89E-18
280.5	3.63E-18
281	3.54E-18
281.5	3.29E-18
282	3.14E-18
282.5	3.04E-18
283	2.93E-18
283.5	2.87E-18
284	2.61E-18
284.5	2.49E-18
285	2.37E-18
285.5	2.22E-18
286	2.16E-18
286.5	2.03E-18
287	1.94E-18
287.5	1.82E-18
288	1.67E-18
288.5	1.59E-18
289	1.50E-18
289.5	1.41E-18
290	1.34E-18
290.5	1.28E-18
291	1.20E-18
291.5	1.11E-18
292	1.03E-18
292.5	9.84E-19
293	9.29E-19
293.5	8.52E-19
294	8.00E-19
294.5	7.62E-19
295	7.13E-19
295.5	6.53E-19
296	6.11E-19
296.5	5.72E-19
297	5.42E-19
297.5	4.98E-19
298	4.63E-19
298.5	4.37E-19
299	4.13E-19
299.5	3.75E-19
300	3.54E-19
300.5	3.35E-19
301	3.06E-19
301.5	2.83E-19
302	2.72E-19
302.5	2.53E-19
303	2.29E-19
303.5	2.15E-19
304	2.09E-19
304.5	1.93E-19
305	1.73E-19
305.5	1.61E-19
306	1.56E-19
306.5	1.48E-19
307	1.33E-19
307.5	1.19E-19
308	1.17E-19
308.5	1.11E-19
309	1.06E-19
309.5	9.17E-20
310	8.54E-20
310.5	8.23E-20
311	7.74E-20
311.5	7.53E-20
312	6.53E-20
312.5	5.89E-20
313	5.57E-20
313.5	5.85E-20
314	5.13E-20
314.5	4.23E-20
315	4.07E-20
315.5	4.49E-20
316	3.79E-20
316.5	3.21E-20
317	3.22E-20
317.5	3.37E-20
318	3.00E-20
318.5	2.31E-20
319	1.99E-20
319.5	2.51E-20
320	2.59E-20
320.5	1.93E-20
321	1.38E-20
321.5	1.33E-20
322	1.91E-20
322.5	1.88E-20
323	1.49E-20
323.5	8.86E-21
324	8.01E-21
324.5	1.02E-20
325	1.42E-20
325.5	1.13E-20
326	7.42E-21
326.5	5.01E-21
327	5.84E-21
327.5	6.98E-21
328	1.06E-20
328.5	6.32E-21
329	3.49E-21
329.5	2.72E-21
330	3.32E-21
330.5	5.44E-21
331	6.24E-21
331.5	4.57E-21
332	2.45E-21
332.5	1.61E-21
333	2.08E-21
333.5	3.55E-21
334	3.83E-21
334.5	2.13E-21
335	1.28E-21
335.5	8.80E-22
336	8.90E-22
336.5	1.68E-21
337	2.33E-21
337.5	2.59E-21
338	1.34E-21
338.5	7.25E-22
339	5.71E-22
339.5	6.83E-22
340	1.28E-21
340.5	1.17E-21
341	6.05E-22
341.5	3.46E-22
342	2.87E-22
342.5	2.29E-22
343	3.73E-22
343.5	4.81E-22
344	1.11E-21
344.5	7.15E-22
345	3.84E-22
345.5	2.72E-22
346	2.04E-22
346.5	1.61E-22
347	2.70E-22
347.5	3.13E-22
348	1.75E-22
348.5	1.05E-22
349	7.80E-23
349.5	9.34E-23
350	8.27E-23
350.5	8.48E-23
351	1.41E-22
351.5	3.19E-22
352	2.03E-22
352.5	1.25E-22
353	8.11E-23
353.5	5.45E-23
354	3.54E-23
354.5	3.55E-23
355	5.41E-23
355.5	4.10E-23
356	2.90E-23
356.5	2.84E-23
357	3.27E-23
357.5	2.66E-23
358	1.95E-23
358.5	1.54E-23
359	2.38E-23
359.5	5.69E-23
360	4.62E-23
360.5	3.20E-23
361	2.09E-23
361.5	1.32E-23
362	8.68E-24
362.5	7.02E-24
363	6.15E-24
363.5	7.03E-24
364	6.41E-24
364.5	8.49E-24
365	1.04E-23
365.5	9.34E-24
366	7.34E-24
366.5	4.99E-24
367	3.74E-24
367.5	3.59E-24
368	4.89E-24
368.5	7.95E-24
369	6.94E-24
369.5	5.41E-24
370	4.20E-24
370.5	3.51E-24
371	3.18E-24
371.5	2.71E-24
372	2.50E-24
372.5	2.34E-24
373	2.81E-24
373.5	3.82E-24
374	3.75E-24
374.5	3.96E-24
375	3.57E-24
375.5	3.32E-24
376	3.02E-24
376.5	3.05E-24
377	2.80E-24
377.5	2.56E-24
378	2.55E-24
378.5	2.82E-24
379	3.08E-24
379.5	3.26E-24
380	3.37E-24
380.5	3.59E-24
381	3.92E-24
381.5	4.11E-24
382	4.23E-24
382.5	4.49E-24
383	4.45E-24
383.5	4.15E-24
384	4.18E-24
384.5	4.07E-24
385	4.03E-24
385.5	4.04E-24
386	4.36E-24
386.5	4.76E-24
387	4.97E-24
387.5	5.13E-24
388	5.32E-24
388.5	5.71E-24
389	5.88E-24
389.5	6.16E-24
390	6.35E-24
390.5	6.43E-24
391	6.53E-24
391.5	6.61E-24
392	6.69E-24
392.5	6.76E-24
393	6.83E-24
393.5	7.05E-24
394	7.28E-24
394.5	7.63E-24
395	7.98E-24
395.5	8.20E-24
396	7.98E-24
396.5	7.60E-24
397	6.90E-24
397.5	6.50E-24
398	6.10E-24
398.5	6.28E-24
399	6.45E-24
399.5	6.57E-24
400	6.72E-24
401	6.99E-24
402	7.61E-24
403	7.77E-24
404	7.65E-24
405	7.60E-24
406	8.49E-24
407	1.16E-23
408	1.56E-23
409	1.80E-23
410	1.91E-23
411	1.91E-23
412	1.82E-23
413	1.61E-23
414	1.70E-23
415	2.08E-23
416	2.46E-23
417	2.77E-23
418	2.91E-23
419	2.78E-23
420	2.85E-23
421	3.20E-23
422	3.82E-23
423	4.72E-23
424	5.60E-23
425	6.23E-23
426	6.40E-23
427	6.15E-23
428	5.71E-23
429	5.44E-23
430	5.59E-23
431	6.22E-23
432	7.27E-23
433	7.91E-23
434	8.01E-23
435	7.81E-23
436	7.90E-23
437	8.48E-23
438	9.83E-23
439	1.17E-22
440	1.34E-22
441	1.54E-22
442	1.69E-22
443	1.74E-22
444	1.69E-22
445	1.57E-22
446	1.44E-22
447	1.41E-22
448	1.51E-22
449	1.69E-22
450	1.86E-22
451	1.94E-22
452	1.93E-22
453	1.91E-22
454	1.91E-22
455	2.10E-22
456	2.28E-22
457	2.59E-22
458	2.97E-22
459	3.39E-22
460	3.79E-22
461	4.05E-22
462	4.10E-22
463	3.94E-22
464	3.66E-22
465	3.41E-22
466	3.32E-22
467	3.43E-22
468	3.69E-22
469	3.99E-22
470	4.17E-22
471	4.21E-22
472	4.19E-22
473	4.20E-22
474	4.32E-22
475	4.64E-22
476	5.14E-22
477	5.71E-22
478	6.35E-22
479	7.09E-22
480	7.81E-22
481	8.40E-22
482	8.70E-22
483	8.67E-22
484	8.41E-22
485	8.01E-22
486	7.65E-22
487	7.49E-22
488	7.59E-22
489	7.85E-22
490	8.19E-22
491	8.51E-22
492	8.68E-22
493	8.76E-22
494	8.82E-22
495	8.95E-22
496	9.25E-22
497	9.78E-22
498	1.05E-21
499	1.14E-21
500	1.23E-21
501	1.33E-21
502	1.44E-21
503	1.54E-21
504	1.61E-21
505	1.66E-21
506	1.67E-21
507	1.66E-21
508	1.62E-21
509	1.59E-21
510	1.56E-21
511	1.56E-21
512	1.57E-21
513	1.60E-21
514	1.64E-21
515	1.68E-21
516	1.72E-21
517	1.75E-21
518	1.78E-21
519	1.81E-21
520	1.85E-21
521	1.90E-21
522	1.97E-21
523	2.02E-21
524	2.11E-21
525	2.21E-21
526	2.30E-21
527	2.41E-21
528	2.51E-21
529	2.60E-21
530	2.68E-21
531	2.76E-21
532	2.81E-21
533	2.85E-21
534	2.86E-21
535	2.86E-21
536	2.85E-21
537	2.85E-21
538	2.86E-21
539	2.89E-21
540	2.93E-21
541	2.99E-21
542	3.05E-21
543	3.12E-21
544	3.17E-21
545	3.21E-21
546	3.25E-21
547	3.29E-21
548	3.32E-21
549	3.35E-21
550	3.38E-21
551	3.41E-21
552	3.44E-21
553	3.48E-21
554	3.52E-21
555	3.58E-21
556	3.63E-21
557	3.70E-21
558	3.79E-21
559	3.89E-21
560	3.99E-21
561	4.09E-21
562	4.19E-21
563	4.28E-21
564	4.35E-21
565	4.42E-21
566	4.48E-21
567	4.54E-21
568	4.60E-21
569	4.66E-21
570	4.71E-21
571	4.77E-21
572	4.82E-21
573	4.85E-21
574	4.86E-21
575	4.86E-21
576	4.83E-21
577	4.79E-21
578	4.75E-21
579	4.71E-21
580	4.66E-21
581	4.61E-21
582	4.57E-21
583	4.53E-21
584	4.50E-21
585	4.48E-21
586	4.47E-21
587	4.46E-21
588	4.46E-21
589	4.47E-21
590	4.49E-21
591	4.53E-21
592	4.58E-21
593	4.65E-21
594	4.74E-21
595	4.82E-21
596	4.91E-21
597	4.99E-21
598	5.09E-21
599	5.17E-21
600	5.23E-21
601	5.27E-21
602	5.28E-21
603	5.28E-21
604	5.25E-21
605	5.20E-21
606	5.14E-21
607	5.06E-21
608	4.97E-21
609	4.88E-21
610	4.78E-21
611	4.69E-21
612	4.60E-21
613	4.51E-21
614	4.42E-21
615	4.34E-21
616	4.26E-21
617	4.19E-21
618	4.13E-21
619	4.06E-21
620	4.01E-21
621	3.96E-21
622	3.92E-21
623	3.87E-21
624	3.83E-21
625	3.78E-21
626	3.73E-21
627	3.68E-21
628	3.63E-21
629	3.58E-21
630	3.52E-21
631	3.47E-21
632	3.42E-21
633	3.36E-21
634	3.31E-21
635	3.25E-21
636	3.18E-21
637	3.12E-21
638	3.06E-21
639	3.00E-21
640	2.93E-21
641	2.87E-21
642	2.82E-21
643	2.76E-21
644	2.71E-21
645	2.66E-21
646	2.61E-21
647	2.57E-21
648	2.52E-21
649	2.48E-21
650	2.44E-21
651	2.40E-21
652	2.36E-21
653	2.32E-21
654	2.28E-21
655	2.24E-21
656	2.20E-21
657	2.16E-21
658	2.12E-21
659	2.09E-21
660	2.05E-21
661	2.01E-21
662	1.98E-21
663	1.94E-21
664	1.90E-21
665	1.86E-21
666	1.82E-21
667	1.77E-21
668	1.73E-21
669	1.69E-21
